id,text,predicted_positions
0,куплюайфон14про,"[5, 7, 10, 12]"
1,ищудомвПодмосковье,"[3, 6, 7]"
2,сдаюквартирусмебельюитехникой,"[4, 12, 13, 20, 21]"
3,новыйдивандоставканедорого,"[5, 10, 18]"
4,отдамдаромкошку,"[5, 10]"
5,работавМосквеудаленно,"[7, 13]"
6,куплютелевизорPhilips,"[5, 14]"
7,ищугрузчиковдляпереезда,"[3, 12, 15]"
8,ремонтквартирподключ,"[6, 13, 16]"
9,куплюноутбукHP,"[5, 12]"
10,ищуквартирууметро,"[3, 11, 12]"
11,новаямикроволновкаSamsung,"[5, 18]"
12,срочнопродамвелосипед,"[6, 12]"
13,куплюгитаруFender,"[5, 11]"
14,ищурепетиторапобиологии,"[3, 13, 15]"
15,сдаюгаражнадлительныйсрок,"[4, 11, 21]"
16,куплюдиванбу,"[5, 10, 11]"
17,ищумастерапоремонтухолодильников,"[3, 10, 12, 19]"
18,новыйшкафдоставкасегодня,"[5, 9, 17]"
19,куплюXboxOne,[5]
20,ищуподработкуповечерам,"[3, 13, 15]"
21,сдамкомнатустудентке,"[4, 11]"
22,куплюстаруюкнигу,"[5, 11]"
23,ищусобакулабрадор,"[3, 9]"
24,новыйтелефонXiaomi13,"[5, 12, 18]"
25,куплюPlaystation5диск,"[5, 16, 17]"
26,ищукомнатувцентрегорода,"[3, 10, 11, 17]"
27,срочнонужнаняняребенку,"[6, 11, 15]"
28,куплюстиральнуюмашинуIndesit,"[5, 15, 21]"
29,ищудетскуюкроваткубу,"[3, 10, 18, 19]"
30,новаякурткадоставка,"[5, 11]"
31,куплювелосипедMerida,"[5, 14]"
32,ищуврачаофтальмолога,"[3, 8]"
33,сдаюквартирувцентреМосквы,"[4, 12, 13, 19]"
34,куплюхолодильникSamsung,"[5, 16]"
35,ищукошкубританскую,"[3, 8]"
36,новыйноутбукдоставказавтра,"[5, 12, 20]"
37,куплюшкафбу,"[5, 9, 10]"
38,ищурепетиторапоистории,"[3, 13, 15]"
39,сдаюкомнатубезпосредников,"[4, 11, 14]"
40,куплютелевизорLGOLED,"[5, 14]"
41,ищуквартирунедорогосрочно,"[3, 11, 19]"
42,новыйайфондоставка,"[5, 7, 10]"
43,куплюгитаруYamaha,"[5, 11]"
44,ищустудиюуметро,"[3, 9, 10]"
45,сдамквартирумолодоженам,"[4, 12]"
46,куплюкомпьютеригровой,"[5, 14]"
47,ищуработуповаромвкафе,"[3, 9, 16, 17]"
48,новыйдиванIkea,"[5, 10]"
49,куплюстарыйноутбук,"[5, 11]"
50,ищусобакудобермана,"[3, 9]"
51,срочносдаюкомнату,"[6, 10]"
52,куплюмониторLG,"[5, 12]"
53,ищумастерапосантехнике,"[3, 10, 12]"
54,новыйстолдоставка,"[5, 9]"
55,куплюайфон13мини,"[5, 7, 10, 12]"
56,ищудевушкудляотношений,"[3, 10, 13]"
57,сдаюдачуналето,"[4, 8, 10]"
58,куплюстиральнуюмашинуLG,"[5, 15, 21]"
59,ищуучителяанглийскогоязыка,"[3, 10, 21]"
60,новыйноутбукAsus,"[5, 12]"
61,куплюматрасортопедический,"[5, 11]"
62,ищукомнатунадлительныйсрок,"[3, 10, 12, 22]"
63,сдамквартирубеззалога,"[4, 12, 15]"
64,куплюхолодильникAtlant,"[5, 16]"
65,ищусобакушпица,"[3, 9]"
66,новаястиральнаямашинадоставка,"[5, 15, 21]"
67,куплютелевизорSony,"[5, 14]"
68,ищурепетиторапогеографии,"[3, 13, 15]"
69,сдаюкомнатусмебелью,"[4, 11, 12]"
70,куплюпылесосDyson,"[5, 12]"
71,ищуработуофицианткой,"[3, 9]"
72,новыйшкафкупе,"[5, 9]"
73,куплюдиванугловой,"[5, 10]"
74,ищуквартирунадлительныйсрок,"[3, 11, 13, 23]"
75,сдамгаражваренду,"[4, 9, 10]"
76,куплювелосипедStels,"[5, 14]"
77,ищуврачапедиатра,"[3, 8]"
78,новыйтелефонOppo,"[5, 12]"
79,куплюмикроволновкуSamsung,"[5, 18]"
80,ищукомнатудлядевушки,"[3, 10, 13]"
81,срочнопродамшкаф,"[6, 12]"
82,куплюPlaystation4slim,"[5, 16, 17]"
83,ищусобакунемецкуюовчарку,"[3, 9, 17]"
84,новаякуртказима,"[5, 11]"
85,куплютелефонHonor,"[5, 12]"
86,ищуподругудляпрогулок,"[3, 10, 13]"
87,сдаюквартирусемье,"[4, 12]"
88,куплютелевизорToshiba,"[5, 14]"
89,ищумастерапоремонтустиралок,"[3, 10, 12, 19, 26]"
90,новыйдивансерый,"[5, 10]"
91,куплюкомодбу,"[5, 10, 11]"
92,ищуучителяпоматематике,"[3, 10, 12]"
93,сдамквартирустудентам,"[4, 12]"
94,куплювелосипедбу,"[5, 14, 15]"
95,ищустудиюнамесяц,"[3, 9, 11]"
96,новаямикроволновкадоставка,"[5, 18]"
97,ищуработунавыходные,"[3, 9, 11]"
98,куплютелефонHuawei,"[5, 12]"
99,"продамшкаф,почтиновый,сзеркалами","[6, 11, 16, 22, 23]"
100,"ищукнигубратьякарамазовы,срочно","[3, 8, 14, 25]"
101,"новыймонитор,27дюймов,доставка","[5, 13, 15, 22]"
102,"куплюковрикдляйоги,недорого!","[5, 11, 14, 19]"
103,"ищуинструкторапоплаванию,бассейнрядом","[3, 14, 16, 25, 32]"
104,"сдамкомнату,толькодевушке","[4, 12, 18]"
105,"куплюшвейнуюмашинку,рабочую","[5, 12, 20, 23, 24]"
106,"ищудрузейдляпутешествий,летомвгоры","[3, 9, 12, 24, 29, 30]"
107,"новаякофеваркаPhilips,гарантияесть","[5, 14, 22, 30]"
108,"куплюлыжи,палкивкомплекте","[5, 10, 15, 16]"
109,"ищуучителяповокалу,джаз","[3, 10, 12, 19]"
110,"сдамместовгараже,сухо","[4, 9, 10, 17]"
111,"куплюдетскийвелосипед,длядевочки","[5, 12, 22, 25]"
112,"ищупекарявкафе,утро","[3, 9, 10, 15]"
113,"новаястиралкаBosch,привезусам","[5, 11, 12, 13, 19, 26]"
114,"куплюстолписьменный,белый","[5, 9, 20]"
115,"ищупрограммистанапроект,срочно!","[3, 15, 17, 24]"
116,"сдамстудиюпосуточно,метрорядом","[4, 10, 12, 20, 25]"
117,"куплюсковородучугунную,диаметр28","[5, 14, 23, 30]"
118,"ищурепетиторапобиологии,ЕГЭ","[3, 13, 15, 24, 25]"
119,"новаягазоваяплита,привезёмбыстро","[5, 12, 18, 26]"
120,"куплюмашинуВАЗбу,находу","[5, 11, 14, 15, 17, 19]"
121,"ищустоликдляноутбука,складной","[3, 9, 12, 21]"
122,"сдамквартирунаночь,чисто","[4, 12, 14, 19]"
123,"куплюшкаф-купе,трёхдверный","[5, 9, 10, 15, 19, 20]"
124,"ищукостюмнасвадьбу,мужской","[3, 11, 19]"
125,"новыйпылесосSamsung,коробкаесть","[5, 12, 20, 27]"
126,"куплюрюкзактуристический,70литров","[5, 11, 25, 27]"
127,ищуучителяпошахматам,"[3, 10, 12]"
128,"сдампарковкувцентре,охрана","[4, 12, 13, 20]"
129,"куплюкроссовкиAdidas,оригинал","[5, 14, 21]"
130,"ищустолярныеуслуги,недорого","[3, 12, 19]"
131,"новыйтелевизорLG,гарантия2года","[5, 14, 17, 25, 26]"
132,"куплювазудляцветов,стеклянную","[5, 9, 12, 19]"
